published_at,type,scope,mo,geo,place,expected_sign,source_url,rule,EventCode,n_articles
2022-03-02,disaster,unmatched,,,"Moscow, Moskva, Russia",positive,https://www.autoevolution.com/news/chinese-cars-flood-russia-after-western-exit-but-there-are-impending-repercussions-211198.html,url,051,7
2022-04-22,disaster,unmatched,,,"Belgorod, Belgorodskaya Oblast', Russia",positive,https://www.nhregister.com/news/article/apartments-evacuated-after-explosive-found-in-17912413.php,url,072,296
2022-04-22,disaster,unmatched,,,"Belgorod, Belgorodskaya Oblast', Russia",positive,https://www.theweek.in/wire-updates/international/2023/04/22/fgn37-russia-explosive-ld-evacuation.html,url,072,24
2022-04-22,disaster,unmatched,,,"Belgorod, Belgorodskaya Oblast', Russia",positive,https://www.winnipegfreepress.com/world/2023/04/22/apartments-evacuated-after-explosive-found-in-russian-city,url,072,14
2023-01-05,disaster,unmatched,,,"Moscow, Moskva, Russia",positive,https://www.ndtv.com/world-news/airport-in-us-was-evacuated-as-murder-accused-had-to-use-toilet-3665848,url,173,6
2023-01-06,disaster,unmatched,,,"Moscow, Moskva, Russia",positive,https://www.dailystar.co.uk/news/world-news/entire-airport-evacuated-creepy-idaho-28887543,url,043,4
2023-01-09,disaster,unmatched,,,"Kremlin, Moskva, Russia",positive,https://www.rferl.org/a/pakistan-floods-climate-aid-conference/32215053.html,url,042,37
2023-01-12,disaster,unmatched,,,"Shatov, Khakasiya, Russia",positive,https://www.tellerreport.com/news/2023-01-12-more-than-150-residents-of-soledar-were-evacuated-to-shakhtyorsk.BkgrGxCa9s.html,url,043,10
2023-01-16,disaster,unmatched,,,"Moscow, Moskva, Russia",positive,https://punemirror.com/others/scitech/russia-to-evacuate-astronauts-from-iss-amidst-emergency/cid1673816256.htm,url,111,12
2023-01-27,disaster,unmatched,,,"Petersburg, Sankt-Peterburg, Russia",positive,https://www.abcactionnews.com/news/region-pinellas/donations-flood-in-to-help-family-living-in-u-haul-since-christmas,url,020,4
2023-01-31,disaster,unmatched,,,"Moscow, Moskva, Russia",positive,https://www.urdupoint.com/en/world/us-peace-corps-evacuates-volunteers-from-peru-1634561.html,url,071,6
2023-02-17,disaster,unmatched,,,"Artemovsk, Sverdlovskaya Oblast', Russia",positive,https://www.weeklyblitz.net/news/bakhmutovites-are-being-evacuated-before-they-become-russians-dos/,url,010,6
2023-02-18,disaster,unmatched,,,"Moscow, Moskva, Russia",positive,https://www.weeklyblitz.net/news/in-roskosmos-called-the-date-of-flooding-of-the-damaged-ship-progress-ms-21/,url,013,22
2023-02-24,disaster,unmatched,,,"Kirgiz-Miyaki, Bashkortostan, Russia",positive,https://www.weeklyblitz.net/news/in-voronezh-212-people-were-evacuated-due-to-a-fire-in-a-hotel/,url,166,6
2023-02-25,disaster,unmatched,,,"Moscow, Moskva, Russia",positive,http://www.seychellesnewsagency.com/articles/18260/Passengers+evacuated+following+bomb+threat+on+Aeroflot+plane+in+Seychelles,url,080,8
2023-02-27,disaster,unmatched,,,"Korsakov, Sakhalinskaya Oblast', Russia",positive,https://www.maritime-executive.com/article/methane-leaking-from-container-forces-crew-evacuation,url,042,10
2023-03-06,disaster,unmatched,,,"Bakhmut, Nizhegorodskaya Oblast', Russia",positive,https://news.yahoo.com/possible-deliver-ammunition-bakhmut-evacuate-205202064.html,url,192,9
2023-03-08,disaster,unmatched,,,"Kremlin, Moskva, Russia",positive,https://news.yahoo.com/sevastopol-occupation-head-evacuated-family-171000123.html,url,112,4
2023-03-09,disaster,unmatched,,,"Kremlin, Moskva, Russia",positive,https://www.kunc.org/npr-news/2023-03-09/from-tv-to-telegram-to-tiktok-moldova-is-being-flooded-with-russian-propaganda,url,110,295
