date,url,sha256,bytes,rows_country
20230101,http://data.gdeltproject.org/events/20230101.export.CSV.zip,374db38f7d50147ad11c4c1ba61b07a77eddd6897a9de316dc4206dcd3d42837,2508621,1722
20230102,http://data.gdeltproject.org/events/20230102.export.CSV.zip,a9e95799fd996d0647106a645dcf7580f34081134386fb5c416e748231c2d45b,3555362,2336
20230103,http://data.gdeltproject.org/events/20230103.export.CSV.zip,ee974777b47d35fa1f834a6617e973c320c03e451da43eb9c74c807c0663d163,5345657,2882
20230104,http://data.gdeltproject.org/events/20230104.export.CSV.zip,12ea5aaa7058c86f2059bc25bcb93b1325008320231d0d2c7675f24534aa6786,6154791,3521
20230105,http://data.gdeltproject.org/events/20230105.export.CSV.zip,b01231279f6b0c743f90c6822995402bbfa7978084b50f89ea072e777bf8de3f,6572389,3666
20230106,http://data.gdeltproject.org/events/20230106.export.CSV.zip,bd0217fb6652d7945ffcea696b6bad75eeb9abcc98c54fc2322dade0af3cf240,6318322,2877
20230107,http://data.gdeltproject.org/events/20230107.export.CSV.zip,7c84e0dcf7be98fbebbbe6e3934b08b69bf76a991aecd35716820d826c906642,3710077,1618
20230108,http://data.gdeltproject.org/events/20230108.export.CSV.zip,be3a0f49e5e932f896dee6e99da6f5b9743c405d9effbfe2ad1835fcf82577aa,3370989,1875
20230109,http://data.gdeltproject.org/events/20230109.export.CSV.zip,7f06e5e092ef2d837f4ff4e2a32d4f664975e7dc0882234226f245698db2eaef,6273515,2619
20230110,http://data.gdeltproject.org/events/20230110.export.CSV.zip,903519bfb849b4fda9d107e9c0d2d3278b6dbc3ae5c7e7c276a16937120a897d,7195611,3367
20230111,http://data.gdeltproject.org/events/20230111.export.CSV.zip,89ddd7e939ba166a0cc7889481749a7a196fbf4042aaebc488c7beef169751a5,7397275,3495
20230112,http://data.gdeltproject.org/events/20230112.export.CSV.zip,b88db65c876b0499e99598d79d976ec16a92a2bc49c474863ef23da7e1093c97,7375744,3712
20230113,http://data.gdeltproject.org/events/20230113.export.CSV.zip,bd794eb618abe71b5d14fd0bfc3a04b3a882cd2820ae2eb2a80dab557be50880,6905384,3561
20230114,http://data.gdeltproject.org/events/20230114.export.CSV.zip,e6d36206786696fb754c13ecc725b78ff020629f656bcd5d525dc18599b97268,4173108,2270
20230115,http://data.gdeltproject.org/events/20230115.export.CSV.zip,e764c87b2941d9f337ff9f1a49bc67d4e59af2ed7e4a456e0b226d8c6d42ddfe,3478711,2266
20230116,http://data.gdeltproject.org/events/20230116.export.CSV.zip,bcabe80a4d75efbb2a58bac19870c5c6945af243c321d765d06c5bfcb2c8ea70,5652378,3241
20230117,http://data.gdeltproject.org/events/20230117.export.CSV.zip,0b0ab8eb97e3f1db0ab0dccc836079ebf015c3ce061af564d93430128935d8b2,7131653,3594
20230118,http://data.gdeltproject.org/events/20230118.export.CSV.zip,8176d7d4017b793e7dc641e4b33d3b68017ba3a17592d9d8d0ac346795044161,7461911,3505
20230119,http://data.gdeltproject.org/events/20230119.export.CSV.zip,e61c1cc4593a9544f1c94206cd3eec96d1d554184d13ed5c83d8316b02e27c9d,7635833,3955
20230120,http://data.gdeltproject.org/events/20230120.export.CSV.zip,eff6653d60f2182dbbb3fd50de8fddb9661ff72b55bde64c29fa96a271b8e23c,7097958,3688
20230121,http://data.gdeltproject.org/events/20230121.export.CSV.zip,6d474e414d886aa19c62d2bd67901441ef1a0ed66de5f21cc5ad3abc4ac07838,4350129,2375
20230122,http://data.gdeltproject.org/events/20230122.export.CSV.zip,b3e9fd41965532089a1acacb90ba39db9d8590812843bc916b265be4f5fd6d71,3710767,1796
20230123,http://data.gdeltproject.org/events/20230123.export.CSV.zip,fdef3608f6c6c92d3e873b520b0e15988249593baa0fe441d65af73798948dc1,6242958,3804
